Number of OTUs	Number of Clustered Sequences	Number of Replicates	Total Number of Sequences	Sample Name	Path
1	1	0	2	OSD188_6_14_RI	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Prolixibacter;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Aureibacter;
1	1	0	2	OSD188_6_14_RI	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Fabibacter;
30	55	89	174	OSD188_6_14_RI	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marinoscillum;
13	5	4	22	OSD188_6_14_RI	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;uncultured;
7	2	1	10	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Crocinitomix;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Cryomorpha;
11	16	9	36	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola;
5	5	12	22	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;NS10 marine group;
3	0	0	3	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Salinirepens;
47	47	48	142	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;uncultured;
4	0	1	5	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Actibacter;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Algitalea;
2	3	2	7	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aquibacter;
1	3	1	5	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aureisphaera;
1	1	4	6	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aureitalea;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Empedobacter;
2	0	0	2	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavicella;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Formosa;
36	128	219	383	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS2b marine group;
72	175	141	388	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
112	353	504	969	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Pibocella;
1	3	1	5	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter 2;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter 4;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Postechiella;
1	0	1	2	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Psychroflexus;
12	22	5	39	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;
1	1	0	2	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Ulvibacter;
8	7	7	22	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;uncultured;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Wenyingzhuangia;
3	1	0	4	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Winogradskyella;
20	21	21	62	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS7 marine group;
144	294	306	744	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9 marine group;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Schleiferiaceae;Schleiferia;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Taibaiella;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Lentimicrobiaceae;
3	0	0	3	OSD188_6_14_RI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Aureispira;
6	0	0	6	OSD188_6_14_RI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Lewinella;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Rubidimonas;
3	1	0	4	OSD188_6_14_RI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Saprospira;
19	20	8	47	OSD188_6_14_RI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;uncultured;
2	0	0	2	OSD188_6_14_RI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;uncultured;
1	0	0	1	OSD188_6_14_RI	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;uncultured;
2	1	0	3	OSD188_6_14_RI	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Neochlamydia;
1	0	0	1	OSD188_6_14_RI	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;
2	1	0	3	OSD188_6_14_RI	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;uncultured;
1	0	1	2	OSD188_6_14_RI	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
1	0	0	1	OSD188_6_14_RI	Bacteria;Chloroflexi;Ardenticatenia;uncultured;
6	3	3	12	OSD188_6_14_RI	Bacteria;Chloroflexi;JG30-KF-CM66;
52	62	65	179	OSD188_6_14_RI	Bacteria;Chloroflexi;SAR202 clade;
344	636	640	1620	OSD188_6_14_RI	Bacteria;Cyanobacteria;Chloroplast;
1	0	0	1	OSD188_6_14_RI	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;
125	208	193	526	OSD188_6_14_RI	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Prochlorococcus;
151	484	1019	1654	OSD188_6_14_RI	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Synechococcus;
1	0	0	1	OSD188_6_14_RI	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Leptolyngbya;
1	0	0	1	OSD188_6_14_RI	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Oscillatoria;
1	0	0	1	OSD188_6_14_RI	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Trichodesmium;
1	0	0	1	OSD188_6_14_RI	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;FamilyII;Calothrix;
1	0	0	1	OSD188_6_14_RI	Bacteria;Cyanobacteria;Melainabacteria;Obscuribacterales;
10	0	2	12	OSD188_6_14_RI	Bacteria;Cyanobacteria;ML635J-21;
1	0	0	1	OSD188_6_14_RI	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Trueperaceae;Truepera;
2	0	0	2	OSD188_6_14_RI	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
1	0	0	1	OSD188_6_14_RI	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;
1	0	0	1	OSD188_6_14_RI	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium;
1	0	1	2	OSD188_6_14_RI	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
1	0	0	1	OSD188_6_14_RI	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;
1	0	0	1	OSD188_6_14_RI	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Intestinibacter;
1	0	0	1	OSD188_6_14_RI	Bacteria;Firmicutes;Clostridia;Halanaerobiales;ODP1230B8.23;
1	0	0	1	OSD188_6_14_RI	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;
1	0	0	1	OSD188_6_14_RI	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;
1	1	0	2	OSD188_6_14_RI	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Propionigenium;
11	16	7	34	OSD188_6_14_RI	Bacteria;Gemmatimonadetes;BD2-11 terrestrial group;
1	0	0	1	OSD188_6_14_RI	Bacteria;Gemmatimonadetes;PAUC43f marine benthic group;
2	0	0	2	OSD188_6_14_RI	Bacteria;Latescibacteria;
3	2	0	5	OSD188_6_14_RI	Bacteria;Lentisphaerae;Lentisphaeria;Lentisphaerales;Lentisphaeraceae;Lentisphaera;
299	636	613	1548	OSD188_6_14_RI	Bacteria;Marinimicrobia (SAR406 clade);
2	0	0	2	OSD188_6_14_RI	Bacteria;Nitrospinae;MD2898-B26;
2	0	0	2	OSD188_6_14_RI	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Leptospirillum;
1	0	0	1	OSD188_6_14_RI	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;
1	0	0	1	OSD188_6_14_RI	Bacteria;Omnitrophica;
1	0	0	1	OSD188_6_14_RI	Bacteria;Omnitrophica;Omnitrophica Incertae Sedis;Unknown Order;Unknown Family;Candidatus Omnitrophus;
7	4	0	11	OSD188_6_14_RI	Bacteria;PAUC34f;
3	0	0	3	OSD188_6_14_RI	Bacteria;Planctomycetes;BD7-11;
16	8	9	33	OSD188_6_14_RI	Bacteria;Planctomycetes;OM190;
25	33	15	73	OSD188_6_14_RI	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;CL500-3;
12	13	5	30	OSD188_6_14_RI	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;FS140-16B-02 marine group;
2	1	3	6	OSD188_6_14_RI	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;JL-ETNP-F27;
1	0	0	1	OSD188_6_14_RI	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;
14	32	34	80	OSD188_6_14_RI	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Urania-1B-19 marine sediment group;
1	0	0	1	OSD188_6_14_RI	Bacteria;Planctomycetes;Pla3 lineage;
2	0	0	2	OSD188_6_14_RI	Bacteria;Planctomycetes;Pla4 lineage;
4	0	0	4	OSD188_6_14_RI	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Blastopirellula;
1	0	0	1	OSD188_6_14_RI	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pirellula;
6	6	14	26	OSD188_6_14_RI	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces;
7	2	0	9	OSD188_6_14_RI	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Rhodopirellula;
2	2	1	5	OSD188_6_14_RI	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Rubripirellula;
5	0	1	6	OSD188_6_14_RI	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;uncultured;
1	2	2	5	OSD188_6_14_RI	Bacteria;Poribacteria;
2	4	1	7	OSD188_6_14_RI	Bacteria;Proteobacteria;AEGEAN-245;
1	3	1	5	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria Incertae Sedis;Unknown Family;uncultured;
2	0	0	2	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;
2	0	0	2	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Henriciella;
2	1	0	3	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Litorimonas;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Maricaulis;
4	0	0	4	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;uncultured;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Aureimonas;
7	11	3	21	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;
6	18	8	32	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;OCS116 clade;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Phyllobacterium;
3	2	0	5	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;uncultured;
64	129	142	335	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;PS1 clade;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Shinella;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;uncultured;
3	1	1	5	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Celeribacter;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Cribrihabitans;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Defluviimonas;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Epibacterium;
2	0	0	2	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Falsirhodobacter;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Labrenzia;
1	2	3	6	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella;
1	1	0	2	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Maritimibacter;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Nautella;
1	2	0	3	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Octadecabacter;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;
2	2	2	6	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Planktomarina;
2	0	0	2	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Planktotalea;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudorhodobacter;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudoruegeria;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseibacterium;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade NAC11-7 lineage;
8	1	0	9	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseovarius;
2	2	2	6	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ruegeria;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sediminimonas;
2	0	0	2	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Shimia;
3	3	0	6	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter;
2	4	1	7	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thalassobius;
199	394	457	1050	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
4	10	4	18	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AT-s3-44;
152	461	519	1132	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;AEGEAN-169 marine group;
4	1	5	10	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospira;
22	24	17	63	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;OM75 clade;
88	113	86	287	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
2	0	0	2	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;LWSR-14;
4	0	0	4	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;MD3-55;
44	39	53	136	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
5	0	0	5	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;uncultured;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiales Incertae Sedis;Candidatus Hepatincola;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiales Incertae Sedis;uncultured;
87	139	129	355	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;
168	301	309	778	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116 clade;
6	2	2	10	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116 clade;Candidatus Puniceispirillum;
21	28	9	58	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;
5	0	0	5	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Deep 1;
91	298	287	676	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 1;
1	5	2	8	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 1;Candidatus Pelagibacter;
13	76	88	177	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 2;
2	1	0	3	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 3;
36	62	76	174	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 4;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Sneathiellales;Sneathiellaceae;uncultured;
3	0	0	3	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter;
28	69	87	184	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;
4	1	3	8	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;uncultured;
10	13	24	47	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Parasphingopyxis;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;
3	2	2	7	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
1	0	2	3	OSD188_6_14_RI	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;
3	1	2	6	OSD188_6_14_RI	Bacteria;Proteobacteria;ARKICE-90;
13	11	4	28	OSD188_6_14_RI	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;MWH-UniP1 aquatic group;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Paraburkholderia;
1	1	0	2	OSD188_6_14_RI	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;
6	11	8	25	OSD188_6_14_RI	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;
3	0	0	3	OSD188_6_14_RI	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium;
3	5	2	10	OSD188_6_14_RI	Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;uncultured;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;OM43 clade;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;
1	0	0	1	OSD188_6_14_RI	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;uncultured;
3	0	0	3	OSD188_6_14_RI	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Halobacteriovorax;
5	3	0	8	OSD188_6_14_RI	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter;
3	3	8	14	OSD188_6_14_RI	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;uncultured;
